Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
4b5eeb300368260019c1fbc7a3c718fc,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__
fe30ff0f71a38a39cf1717ec2be3a2fc,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria
d29fe3c70564fc0f69f2c03e0d1e5561,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus
868528ca947bc57b69ffdf83e6b73bae,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__
154709e160e8cada6bfb21115acc80f5,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides
1d2e5f3444ca750c85302ceee2473331,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__parainfluenzae
0305a4993ecf2d8ef4149fdfc7592603,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__uniformis
cb2fe0146e2fbcb101050edb996a0ee2,k__Bacteria,p__Firmicutes,c__Bacilli
997056ba80681bbbdd5d09aa591eadc0,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__
3c9c437f27aca05f8db167cd080ff1ec,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__melaninogenica
9079bfebcce01d4b5c758067b1208c31,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__veronii
bfbed36e63b69fec4627424163d20118,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium,s__prausnitzii
90d32ffe026535b392c0bad850f213c4,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium,s__prausnitzii
ab4ef4399912b0507d8d1187e874684d,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__subflava
d86ef5d6394f5dbeb945f39aa25e7426,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Phascolarctobacterium,s__
a049763053c277b16c2a318f41eb23b4,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,s__
699071a4a7ce68918e4cd93a61275ecd,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__
cdd14cce4ec44b3235923652b71e947e,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides
7e598ad34909a3fb8ff1623f1ede11a6,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium
b44621e5c80607cdfacbf7a81e1cbe41,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__
e8e6b7fc969005938de8ac7ffb94f17c,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Rothia,s__mucilaginosa
535696cecf56f03d3401d7d6dbe66d7b,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,s__faecis
9f718b8f66b79c3de80546ca9a54539c,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Veillonella,s__parvula
f352c1f1efecf483511c2270aabd0ae6,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae
fd86856409fe6433d719558a30910515,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__
44ff26d8105cf822417b4b0c4eb27c02,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__
ad41fe8f8be5b01c96549309937e3b14,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],g__Peptoniphilus,s__
909755d7142ea53c7f61c97c3586f26c,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__guillouiae
fcd4f95c05b868060121ff709085bf21,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],g__Finegoldia,s__
ab6b063ed43d8cb3008e157a0a305c47,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__putredinis
57b34afdff2e84fb9b0befd219edcb38,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnospira,s__
047b7fb62a5e9d2711e639ae1cb1519a,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Veillonella,s__dispar
0160e14a78b18b903618f11bc732746e,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__Akkermansia,s__muciniphila
e7c8b8c8fced8eead4b767bffe6dd544,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__
d2613a43f4ed1dda8a673e7fb251ebef,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnospira,s__
e31b5affbe5e23b79a8619589f3b6620,k__Bacteria,p__Cyanobacteria,c__Chloroplast,o__Streptophyta,f__,g__,s__
7dd9c9124ec3f118a6cef1f0d422c011,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
67e23140639733766b7e127f50221289,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],g__Anaerococcus,s__
01e0b7ac306895be84179f2715af269b,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnospira,s__
500d6b485cef4c52aad211d6d6e6dbc7,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,s__stationis
1685b25b43eb070cd7655de8c2d8c0a4,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Streptobacillus
db793caa585e078770021a7979ae8ea2,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium
ee0fb26fca3afb05e0b288d6fcab899e,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__fragilis
d1d750ce3b00503c204516d27ca0d3b0,k__Bacteria,p__Firmicutes,c__Bacilli,o__Gemellales,f__Gemellaceae
ebe0e9790089ad4f40151cb4a3231a8f,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae
b685f8246fb6fad0fd91574c444b8f51,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,s__
636c27859c1ac0a7994ca8ed145d03fe,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__
f35ce9c514e1398308f5f84ed50b260f,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__[Paraprevotellaceae],g__[Prevotella],s__
79e9e337b10e2d298bb1b3bde946782d,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae
0a69950e803a5d9e7166c450e44f43cf,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,s__inulinivorans
e5c80b4a23b96b2fa35b6da6cac2bf73,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__Flectobacillus,s__
9118606a87ac19f8d041da20f16f3236,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Parabacteroides,s__distasonis
d8e8459398f3f096775f4298666880a7,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__[Paraprevotellaceae],g__[Prevotella],s__
fba3d9b3872ff9021d66434323fb9565,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Veillonella,s__parvula
ae27459b7f5465815b1f565d792083ce,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__nanceiensis
4fdf8dcd9451f5742982d716fa9f0536,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Lautropia,s__
4ea5683e2c2a183c11c45dc8fbd0c67c,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,s__variabile
469e4ff2129066178b74b112829fc03c,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,s__
6edca9464612efff71d8f97299f01663,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__melaninogenica
41fedaa9200e2933821f84ecdc0b0772,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__
41735c13fb7f63db49b10fba5d959ce3,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria
54d098d009b89779530eaf43a1bb136a,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__,s__
76174505aef45f134d8068d5ad2c42aa,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__
b8afb7bb30b7a9170b7c6dcd40251d54,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
4c4606a3dbb4f5b8bb1ad1db6dfc5617,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Propionibacteriaceae,g__Propionibacterium,s__acnes
3ef461f213bfc675ddf0b1bfeef2dc52,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales
1f50ac250618ced095a2a5c34bae7651,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__
b3d4d129c955517b446df657236ba5a2,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__[Paraprevotellaceae],g__Paraprevotella,s__
fc15824cd9e9c29e1319d32843452b54,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__
f8f937eeee7762f446a0e87292f98eb6,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Parabacteroides,s__
b2866fdca13681232057e3e85a1978cf,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,s__
052128d7d424728578efe7852b0afd0d,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Coprococcus,s__
fc5b641a0b0408d99ddfb2a5ba64da59,k__Bacteria,p__Cyanobacteria,c__Chloroplast,o__Streptophyta,f__,g__,s__
2514cdaab96a1a42cf15506f2ecf6439,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Oribacterium,s__
e0472171de6fa02a1f58e392ad3d000e,k__Bacteria,p__Cyanobacteria,c__Chloroplast,o__Streptophyta,f__,g__,s__
e063d1c3c9daf7390e5475e48d9b01c5,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnospira,s__
958bc15b660bce0b894665d13f910f5b,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],g__Anaerococcus,s__
1b448e00c078f81e49a61933072345d2,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__fragi
2e55763e77234a7bfc3a311067a0c7e1,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__,s__
162ed46308ef9dd1600fb0fe7c90b186,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__delbrueckii
9af77e369d2ba4b3bb6e0e808ed84d91,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__
e77bac543df42865af751a32a2942fdb,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
5ada68b9a081358e1a7d5f1d351e656a,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia,s__
f8a71161ac98c5ceafcc75e57ace7230,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__mitochondria
26b8b1509edf09c438db1634308c3c90,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__nanceiensis
3ae3e825c5e3862af6c17798e2b40a37,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus
26133b4163fdcd22d86f4e04e74154f1,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnospira,s__
29a92aecac56c855cbfc0debf9bda0c8,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Oscillospira,s__
e737a3a864791ec52f1398d83786f4f2,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__,s__
880968796af86b3d6270c228fe8e7026,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Oscillospira
81351ef6b4d49a3a6b2fc24745d70305,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Moraxella,s__
c4aad64f84f51ff331b986a67af4ed3d,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter
79dcabe7f92f8cf2723b796dcd2f239f,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,s__
7a5d5e6f85da7ca91daa2d803e8f9279,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__
401d7866836c54f3cd18bd0fc814885e,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],g__Anaerococcus,s__
75258a676bcd7e73c2437d6a2012d490,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__intermedia
839fafb762395fab1ba257442ec29e7f,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__melaninogenica
6b82e6cb771d45d6c925405b66299d7f,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,s__
5c82bad13c4ebd2ed1bd23a8c2e37fc5,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Veillonella,s__
f59a4d48a03cc224462bf83e4d4ab126,k__Bacteria,p__Firmicutes,c__Erysipelotrichi,o__Erysipelotrichales,f__Erysipelotrichaceae,g__,s__
eecc4a4317225eb579540e82ab785716,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium,s__prausnitzii
a895b66cac813ac67ce1c908259b646f,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__
acfe4c003905a7074aeaf385b78ad9e0,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Gemmiger,s__formicilis
684721318896ed01048f3502333c214d,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,s__diminuta
2ff525a1e58c54525e7f2d68a6c0b23e,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__pallens
d781fa7e866ac295ce9a56bd97912983,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium,s__prausnitzii
0b925631436d3775231b60f9d0011cae,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__
a5551fc60aa8bbaab737487552ea2a75,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__[Paraprevotellaceae],g__Paraprevotella,s__
a4c08e2c3a34038ea877b16d01736837,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Clostridium,s__clostridioforme
4075a90811bf9c19f02f5aa2ece6da37,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Janthinobacterium,s__lividum
4980b85712efeef1fc4563a9a949fe2e,k__Bacteria,p__Cyanobacteria,c__Chloroplast,o__Streptophyta,f__,g__,s__
f91c81859bf6eede55eef9c915dd8bab,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
5601f094afc823d75ccb34440645a99e,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__
21a0198d0a83a8f3ec0e401067138940,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Oscillospira,s__
56c98126dde3abb2d263088db55e12c8,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter
a659784c026bd9c8cde94da36aa656d7,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__
f16a387e898dbae6432b2ed0241120bd,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnospira,s__
3125abe90c7ae91aec06eb104d71845f,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],g__Anaerococcus,s__
b383ade799e9c83c649cec37705a251d,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
3bf2fc236887eda11c969b84d30f9fbf,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae
3cdd97ba69a504117de24626ba790e96,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Enhydrobacter,s__
4132561a08d25757e4bee9f73ec4a70a,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__oralis
30faafef155964edd9db9374f36c45bf,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
9d3ec96491b522546acbdfa3b21b6071,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Psychrobacter
fb4f7d9d3f91ac2f22a542fbd13019c1,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Oribacterium,s__
b0f7e29de400c6b517b39230dc1b4365,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__[Weeksellaceae],g__,s__
393e6e2cbe258ed27a4ca0a2ee0d2cdc,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__
1d17561d16d803f652b0d6bdd671c1cc,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Oscillospira,s__
3982159c2603cacc4bc4893003bda323,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Parabacteroides,s__
b1e22f094d8c64fb56dbacf680dab8c9,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__
b92e89d105e0a6e09e5984879c4c7809,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Megamonas,s__
a5df9a825c3d8eeb228a6781c3db134c,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
ff3df50eea7490dd794148649c480fd3,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
3a1c2d5547ddb7f76306a042f8bef6a4,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae
8da02c7114ba0d9ee40312926e037a8f,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,s__
87899779aec8d38dfaf48d895cfe8021,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales
d46bfd723f625e317606ae28580eba3e,k__Bacteria
145f11599b92ad3a4c93896b0edf8c0c,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae
846cbaf603b77be035fe0cb61d14a23c,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__
e8fb2b3d01d369dbb5d3764548193ae9,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],g__Parvimonas,s__
7eedfc5c8d0d6b8852fabb20d52a8c5d,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__succinicans
c4f955168102011d272b685aa772c10a,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Alloiococcus,s__
513de43781dc4c2831eb83b23940d66b,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Veillonella,s__dispar
13692c41b4bf5d577c28c278caafcddb,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__
1d284bea12006c939c03d622ce2abd5e,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae
24443b70088636edf08f0c9572d7faf4,k__Bacteria,p__Firmicutes,c__Bacilli,o__Gemellales,f__,g__,s__
185df2b73b4805164470dfaea2d05223,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae
2f4c5e75c0e4cdfcbddbe93ef1f410a3,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],g__1-68,s__
